Severity	Code	Description	Project	File	Line	Suppression State	Details
Error	C2143	syntax error: missing ';' before '{'	atlas_dedicated_server	C:\GIT PROJECTS\EVEOFFLINE\cpp_server\include\data\ship_database.h	8		
Error	C2447	'{': missing function header (old-style formal list?)	atlas_dedicated_server	C:\GIT PROJECTS\EVEOFFLINE\cpp_server\include\data\ship_database.h	8		
Error	C2143	syntax error: missing ';' before '{'	atlas_dedicated_server	C:\GIT PROJECTS\EVEOFFLINE\cpp_server\include\data\ship_database.h	8		
Error	C2447	'{': missing function header (old-style formal list?)	atlas_dedicated_server	C:\GIT PROJECTS\EVEOFFLINE\cpp_server\include\data\ship_database.h	8		
Error	C2143	syntax error: missing ';' before '{'	atlas_dedicated_server	C:\GIT PROJECTS\EVEOFFLINE\cpp_server\include\data\ship_database.h	8		
Error	C2447	'{': missing function header (old-style formal list?)	atlas_dedicated_server	C:\GIT PROJECTS\EVEOFFLINE\cpp_server\include\data\ship_database.h	8		
Error	C2143	syntax error: missing ';' before '{'	atlas_dedicated_server	C:\GIT PROJECTS\EVEOFFLINE\cpp_server\include\data\ship_database.h	8		
Error	C2447	'{': missing function header (old-style formal list?)	atlas_dedicated_server	C:\GIT PROJECTS\EVEOFFLINE\cpp_server\include\data\ship_database.h	8		
Error	C2039	'Logger': is not a member of 'atlas::utils'	atlas_dedicated_server	C:\GIT PROJECTS\EVEOFFLINE\cpp_server\src\main.cpp	13		
Error	C3083	'Logger': the symbol to the left of a '::' must be a type	atlas_dedicated_server	C:\GIT PROJECTS\EVEOFFLINE\cpp_server\src\main.cpp	13		
Error	C2039	'instance': is not a member of 'atlas::utils'	atlas_dedicated_server	C:\GIT PROJECTS\EVEOFFLINE\cpp_server\src\main.cpp	13		
Error	C3861	'instance': identifier not found	atlas_dedicated_server	C:\GIT PROJECTS\EVEOFFLINE\cpp_server\src\main.cpp	13		
Error	C2143	syntax error: missing ';' before '{'	atlas_dedicated_server	C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.38.33130\include\iostream	18		
Error	C2447	'{': missing function header (old-style formal list?)	atlas_dedicated_server	C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.38.33130\include\iostream	18		
Error	C2143	syntax error: missing ';' before '{'	atlas_dedicated_server	C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.38.33130\include\iostream	18		
Error	C2447	'{': missing function header (old-style formal list?)	atlas_dedicated_server	C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.38.33130\include\iostream	18		
